timestamp,ticker,transaction_type,quantity,price_local,currency,closing_price_usd,market_event
2025-01-05T00:34:00+00:00,AAPL,SELL,334,161.87,EUR,176.36,
2025-01-06T05:23:00+00:00,GOOGL,SELL,44,174.44,USD,173.6,
2025-01-06T11:18:00+00:00,AMZN,BUY,383,191.08,USD,190.33,
2025-01-06T23:26:00+00:00,MSFT,BUY,411,413.26,USD,415.91,
2025-01-07T13:15:00+00:00,TSLA,SELL,33,206.3,EUR,224.72,
2025-01-07T18:01:00+00:00,GOOGL,BUY,206,170.66,USD,170.97,earnings_beat
2025-01-07T22:10:00+00:00,TSLA,SELL,233,220.47,USD,219.94,
2025-01-08T01:06:00+00:00,AAPL,BUY,193,178.12,USD,179.64,
2025-01-08T05:30:00+00:00,MSFT,DIVIDEND,48,414.1,USD,414.88,earnings_beat
2025-01-10T01:59:00+00:00,MSFT,DIVIDEND,36,407.76,USD,409.71,
2025-01-10T04:35:00+00:00,TSLA,SELL,105,228.83,USD,229.51,earnings_beat
2025-01-10T18:44:00+00:00,GOOGL,SELL,361,172.39,USD,171.02,
2025-01-11T15:40:00+00:00,TSLA,BUY,210,229.25,USD,228.3,
2025-01-12T00:53:00+00:00,AAPL,BUY,295,141.69,GBP,179.7,
2025-01-12T07:25:00+00:00,MSFT,BUY,16,409.0,USD,408.36,
2025-01-13T08:22:00+00:00,TSLA,BUY,247,228.67,USD,231.13,
2025-01-13T18:20:00+00:00,GOOGL,SELL,262,169.98,USD,169.08,
2025-01-14T01:46:00+00:00,MSFT,SELL,279,407.91,USD,408.02,earnings_beat
2025-01-14T11:36:00+00:00,MSFT,SELL,58,410.89,USD,412.88,
2025-01-16T00:14:00+00:00,MSFT,BUY,415,420.34,USD,418.39,
2025-01-16T00:43:00+00:00,AMZN,BUY,131,188.08,USD,188.51,guidance_raise
2025-01-16T18:27:00+00:00,AAPL,BUY,446,146.89,GBP,186.05,
2025-01-19T00:02:00+00:00,AAPL,SELL,387,181.56,USD,181.17,
2025-01-19T16:41:00+00:00,AAPL,BUY,468,180.42,USD,178.88,
2025-01-21T03:18:00+00:00,MSFT,DIVIDEND,30,412.73,USD,411.41,
2025-01-21T22:41:00+00:00,GOOGL,SELL,76,173.09,USD,173.01,
2025-01-22T04:58:00+00:00,MSFT,SELL,255,410.98,USD,412.79,earnings_beat
2025-01-23T16:01:00+00:00,AAPL,BUY,370,183.23,USD,182.78,
2025-01-24T05:31:00+00:00,AAPL,DIVIDEND,24,161.93,CHF,184.15,
2025-01-24T09:27:00+00:00,GOOGL,BUY,279,173.09,USD,173.01,guidance_raise
2025-01-24T14:57:00+00:00,AAPL,SELL,300,165.18,EUR,180.87,
2025-01-24T15:26:00+00:00,TSLA,BUY,59,206.23,EUR,226.6,
2025-01-25T15:28:00+00:00,AMZN,SELL,434,199.34,USD,200.22,split
2025-01-26T12:58:00+00:00,MSFT,SELL,229,423.46,USD,425.8,
2025-01-27T01:07:00+00:00,AMZN,BUY,37,193.12,USD,191.47,
2025-01-28T09:02:00+00:00,AMZN,BUY,460,194.29,USD,194.42,
2025-01-28T12:12:00+00:00,TSLA,SELL,32,237.61,USD,237.05,
2025-01-28T14:59:00+00:00,AMZN,BUY,162,169.55,CHF,193.37,
2025-01-28T17:29:00+00:00,AMZN,BUY,122,201.04,USD,200.65,
2025-01-29T00:00:00+00:00,AMZN,DIVIDEND,26,174.63,EUR,189.57,
2025-01-29T03:17:00+00:00,AMZN,SELL,422,30183.0,JPY,195.19,
2025-01-29T10:03:00+00:00,TSLA,SELL,390,236.01,USD,235.83,
